id,K_D_gmax,KV3_1_gmax,KV2_FAST_gmax,KV1_4_gmax,KV4_2_gmax,K_M_gmax,SK_gmax,NA_T_AX_gmax,NA_T_SD_gmax,NA_P_gmax,CA_LVA_gmax,CA_HVA_gmax,IH_gmax,n_spikes,spike_freq,isi_skewness,cma_n_bursts,cma_burst
124,0.0440314,0.800315,0.0164405,0.00508439,0.195481,0.0204596,0.000182336,24.999,2.14727,0.303851,0.00299821,0.00236776,0.014752,126,25.2,0.0733482,0,0
125,0.0146091,3.49421,0,0.0136454,0.0464655,0,0.000418318,40.659,2.1163,0.33883,0.00793691,0.561468,0.000100732,608,121.6,-0.626022,2,1
126,0.160916,0.225705,0.115304,0.144954,0.0364886,0.148809,0.00276315,24.0011,2.07032,0.353945,0.00125266,0.265037,0.000256029,235,47,0.313129,0,0
127,0.059644,4.86611,0.0083013,0,0.0715583,0,0.0219792,29.7468,1.33309,0.46196,0.00409041,0,0.000479478,249,49.8,5.42069,5,1
128,0.169293,0.107032,0.0671979,0.0012594,0,0,0,11.9369,0.574013,0.309337,0.0315254,0.0181593,0.000741924,66,13.2,-4.5124,0,0
129,0.0110504,0.0447178,0.00189482,0.00548136,0,0.0159056,0.0457176,38.91,1.16115,0.303588,0.014599,0.0214218,0.00013167,228,45.6,1.43577,0,0
130,0.474324,3.29455,0.0203683,0,0,0.00956574,0.00240516,31.5659,2.9648,0.389901,0.205584,0.0887111,0.000648861,606,121.2,-0.332215,0,0
131,0.711401,0.229113,0.0240496,0.125838,0.00107031,0.0118143,0,18.9201,0.762065,0.411311,0.424918,0.024445,0.00353212,503,100.6,1.56615,0,0
132,0.0172192,0.010126,0.00100012,0.868308,0.133738,0.0713081,0.0103175,23.0897,1.3476,0.348226,0.00649868,0.0170705,0.00134652,132,26.4,0.074058,0,0
133,0.0243485,1.0077,0.011869,0.0121415,0.12773,0.00256566,0,32.6135,2.62487,0.265784,0.0216202,0.00388827,0,146,29.2,0.0752605,0,0
134,0.0234797,0.0181185,0.163443,0,0.0581629,0.0395485,0.00825263,26.7044,1.37154,0.216994,0.00158561,0.0266046,0,116,23.2,0.074196,0,0
135,0.0107939,3.92565,0,0.145377,0,0.00814541,0.0523424,49.4582,2.26289,2.12251,0.0259105,0,0,380,76,9.92981,6,1
136,0.0118627,2.92408,0.00197143,0.00362608,0.00117271,0,0.0396636,49.3936,2.51498,2.40919,0.0116482,0,0.00024068,566,113.2,-0.742763,0,0
137,0.270383,0.0104915,0.0012955,0.00327521,0.0160604,0.0316544,0.00922372,15.8968,1.06596,0.680417,0.00178996,0,0.018133,415,83,0.150013,0,0
138,0.107519,0.093765,0.149231,0.877324,0.00807236,0.0475864,0,19.8102,0.983606,0.950722,0.00550822,0,0.000494171,124,24.8,-0.523938,0,0
139,0.0322246,0.0105501,0,0.0214854,0,0.00348346,0.0046974,13.0641,1.29704,0.598958,0.00156562,0.00792527,0.00058621,159,31.8,-0.188331,0,0
140,0.187717,1.93102,0,0.00501446,0.00410762,0.0261877,0.0822986,49.5862,1.24445,1.81823,0.0291476,0,0,150,30,-0.998633,0,0
141,0.835116,0.039388,0.00208374,0.109514,0.00959803,0,0.00776066,22.2804,0.71204,0.436584,0.0440906,0.128173,0.0497919,21,4.2,0.566523,0,0
142,0.0923524,0.0987717,0.190491,0.0140728,0.00275408,0.00520958,0,17.6419,0.881681,0.267593,0.008498,0.00594587,0.00834748,148,29.6,0.0804008,0,0
143,0.0128898,1.23392,0.0777827,0.00226052,0.0277458,0.107532,0.00293467,48.1829,1.20966,1.49958,0.0771702,0.0664618,0.00244562,203,40.6,-0.949335,0,0
144,0.126907,0.0305299,0.0683003,0.016358,0.0181159,0.0179574,0.0309599,16.3634,0.360322,0.327959,0.00437101,0.00160961,0.00010045,190,38,0.0915406,0,0
145,0.279726,2.25276,0.0223828,0.255366,0.0228354,0.0150172,0,28.8437,2.19285,0.138474,0.0125638,0.402218,0.00479137,199,39.8,6.81145,6,1
146,0.0347819,4.28916,0,0.00660018,0.00241814,0.10769,0.00369811,15.4263,1.11326,0.718358,0.0304564,0.438418,0.000251637,124,24.8,9.93105,0,0
147,0.0587895,0.0101694,0.00375019,0.00118269,0.132744,0.00190306,0.0372095,12.1348,1.17491,0.261786,0.00172779,0.0154267,0.0117723,10,2,0.0695821,0,0
148,0.545618,0.119791,0.0121779,0.0184457,0.0258266,0,0.00597898,18.7953,1.32723,0.82713,0.00272299,0.00339157,0.000121318,259,51.8,-0.206433,0,0
149,0.0952593,0.552649,0.00325012,0,0.0821999,0.00178357,0.0901566,35.8443,2.95436,1.44217,0.210286,0.0195387,0,304,60.8,2.50262,0,0
150,0.0937885,0.160612,0.00472388,0.00488414,0.12404,0.0645813,0.000184244,26.0073,2.37422,0.138055,0.00896753,0.0487034,0,257,51.4,0.902638,0,0
151,0.713312,0.0320279,0.00309841,0.306549,0.326429,0.0707219,0.0721859,47.3197,4.56905,1.79932,0.00244943,0.00490349,0.015362,79,15.8,-0.952512,0,0
152,0.0261438,0.0100626,0.0543295,0.0282248,0.0528717,0.0074896,0.0469006,36.052,3.28315,0.754024,0.226219,0,0.000219884,121,24.2,-0.327991,0,0
153,0.0975656,0.19661,0,0.0150432,0.0153949,0,0.00231637,13.9338,1.10899,0.233761,0.0275564,0.00412325,0.0321097,462,92.4,1.03271,0,0
154,0.150085,0.384996,0,0.00173206,0.186349,0.00483265,0,17.7418,1.59163,0.510999,0.212607,0.00859181,0.0693219,33,6.6,-0.865282,0,0
155,0.227811,0.0389163,0,0,0.00256685,0.51727,0,23.0582,2.25691,1.10413,0.101619,0.00171367,0.00432306,1156,231.2,0.525818,0,0
156,0.159279,0.764345,0.0032989,0.0106862,0.00395139,0,0.00946328,43.3467,0.444724,1.13538,0.949331,0.0273748,0,254,50.8,3.38912,0,0
157,0.0195258,2.18986,0,0,0,0.0126195,0.0637343,35.8029,2.13461,1.04593,0.972343,0.00202074,0,768,153.6,8.97552,0,0
158,0.0816723,5.46933,0.00884829,0,0.00128375,0.063412,0.000115624,14.3474,1.24654,0.493938,0.128136,0,0.000659438,95,19,0.483874,0,0
159,0.738448,0.767023,0.0123055,0.073722,0,0.00128211,0.000616234,32.7639,1.74215,0.44039,0.00166227,0.00759322,0,420,84,1.68059,0,0
160,0.509735,0.0291777,0.00480943,0.714749,0.0511863,0.0535894,0.00122274,46.5941,1.97886,2.13781,0.00121162,0.00121767,0.00759444,264,52.8,-8.46705,0,0
161,0.326871,1.19219,0,0.130349,0.0166978,0.044268,0.00217885,15.6153,0.395469,0.695952,0.1683,0.00279313,0,698,139.6,0.386786,0,0
